1,tcp,http_443,SF,3138,5344,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.140.219,55418,52.168.117.171,443,2024-04-02T18:33:43
0,tcp,http_443,RSTO,2921,47120,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,59064,20.207.73.82,443,2024-04-02T18:33:39
4,tcp,http_443,RSTO,1985,5608,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,36250,20.207.73.85,443,2024-04-02T18:33:44
0,udp,domain_u,SF,140,250,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.140.219,59193,172.28.128.1,53,2024-04-02T18:33:38
0,udp,domain_u,SF,148,262,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.140.219,57557,172.28.128.1,53,2024-04-02T18:33:40
0,udp,domain_u,SF,184,597,0,0,0,2,2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2,2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.140.219,38161,172.28.128.1,53,2024-04-02T18:33:42
3,udp,other,SF,864,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.128.1,55939,239.255.255.250,1900,2024-04-02T18:34:01
3,udp,other,SF,868,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.128.1,54025,239.255.255.250,1900,2024-04-02T18:34:09
1,udp,other,SF,170,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.128.1,5353,224.0.0.251,5353,2024-04-02T18:35:07
3,udp,other,SF,864,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2,3,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,172.28.128.1,56410,239.255.255.250,1900,2024-04-02T18:36:01
0,udp,other,SF,495,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,4,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.128.1,138,172.28.143.255,138,2024-04-02T18:36:01
0,tcp,http,SF,338,214,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.140.219,58588,104.97.76.192,80,2024-04-02T18:54:04
0,udp,domain_u,SF,83,332,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.140.219,55161,172.28.128.1,53,2024-04-02T18:54:04
0,udp,domain_u,SF,83,281,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4,4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.28.140.219,34395,172.28.128.1,53,2024-04-02T18:54:04
3,udp,other,SF,864,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,5,1.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,172.28.128.1,54337,239.255.255.250,1900,2024-04-02T18:54:08
3,udp,other,SF,868,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4,6,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,172.28.128.1,59131,239.255.255.250,1900,2024-04-02T18:54:08
7,tcp,http_443,RSTO,1603,4493,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,39052,54.217.10.153,443,2024-04-02T19:18:40
2,tcp,http,SF,3442,7349,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,42326,91.189.91.81,80,2024-04-02T19:19:04
1,tcp,http,SF,3325,7166,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1,2,1.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,172.28.140.219,42332,91.189.91.81,80,2024-04-02T19:19:04
10,tcp,http_443,SF,1293,9084,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,4,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,36970,104.22.4.26,443,2024-04-02T19:19:17
9,tcp,http_443,SF,5012,160305,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,5,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,59268,18.161.229.8,443,2024-04-02T19:19:17
10,tcp,http_443,SF,2833,12750,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,6,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,54904,18.67.161.14,443,2024-04-02T19:19:17
10,tcp,http_443,SF,3101,110814,0,0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,7,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,60280,34.120.127.130,443,2024-04-02T19:19:17
10,tcp,http_443,SF,4424,203056,0,0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,8,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,38866,13.107.246.48,443,2024-04-02T19:19:17
10,tcp,http,SF,1142,5482,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,172.28.140.219,35626,104.108.203.191,80,2024-04-02T19:19:17
